adhoc_charge_amt
adhoc_charge_amt_usd
admin_refund_amt
admin_refund_amt_usd
alcohol_direct_payment_ind
alcohol_tax_amt
alcohol_tax_amt_usd
alcohol_gmv_amt
alcohol_gmv_amt_usd
alcohol_product_ind
arrived_customer_location_date_time_pt
arrived_customer_location_date_time_utc
bag_fee
bag_fee_usd
bags_fee_tax_amt
bags_fee_tax_amt_usd
bags_in_freezer
bags_in_fridge
bags_in_shelves
batch_id
batch_index
bottle_deposit_amt
bottle_deposit_amt_usd
bottle_redemption_amt
bottle_redemption_amt_usd
bottle_water_tax_amt
bottle_water_tax_amt_usd
cancellation_fee_amt
cancellation_fee_amt_usd
cancellation_fee_tax_amt
cancellation_fee_tax_amt_usd
cbt_batch_id
cbt_shift_type
charge_finalized_ind
closest_warehouse_location_id
country_id
cpg_delivery_promotion_discount_amt
cpg_delivery_promotion_discount_amt_usd
currency
customer_address_id
customer_contacted_successfully_ind
deal_discount_amt
deal_discount_amt_usd
deleted_ind
delivered_date_local
delivered_date_pt
delivered_date_time_local
delivered_date_time_pt
delivered_date_time_utc
delivered_date_utc
delivery_batch_id
delivery_completed_fx_rate_to_usd
delivery_created_date_pt
delivery_created_date_time_pt
delivery_created_date_time_utc
delivery_created_date_utc
delivery_created_fx_rate_to_usd
delivery_fee_modifier
delivery_fee_tax_amt
delivery_fee_tax_amt_usd
delivery_finalized_ind
delivery_option_id
delivery_option_surge_id
delivery_options_quote_id
delivery_promotion_discount_amt
delivery_promotion_discount_amt_usd
delivery_promotion_id
delivery_recipient_name
delivery_refunded_amt
delivery_refunded_amt_usd
delivery_started_date_time_pt
delivery_started_date_time_utc
delivery_state
delivery_timing_minutes
delivery_type
delivery_updated_date_time_pt
delivery_updated_date_time_utc
direct_payment_gmv_amt
direct_payment_gmv_amt_usd
direct_payment_ind
distance_from_home
driver_shift_type
dwh_created_date_time_utc
dwh_updated_date_time_utc
etl_run_id
exclusive_whitelabel_user_ind
expected_spread_amt
final_alcohol_service_fee_amt
final_alcohol_service_fee_amt_usd
final_charge_amt
final_charge_amt_usd
final_charge_before_markup_amt
final_delivery_fee
final_delivery_fee_usd
final_sales_tax_amt
final_sales_tax_amt_usd
final_sales_tax_before_markup_amt
final_service_fee_amt
final_service_fee_amt_usd
final_service_fee_tax_amt
final_service_fee_tax_amt_usd
from_whitelabel_ind
fulfillment_method
fx_rate_to_usd
goods_and_services_tax_amt
goods_and_services_tax_amt_usd
harmonized_sales_tax_amt
harmonized_sales_tax_amt_usd
healthy_tax_amt
healthy_tax_amt_usd
in_store_sales_tax_amt_deprecated
in_store_sales_tax_amt_usd
in_store_total_amt_deprecated
in_store_total_amt_usd
initial_alcohol_service_fee_amt
initial_alcohol_service_fee_amt_usd
initial_charge_amt
initial_charge_amt_usd
initial_delivery_fee
initial_delivery_fee_usd
initial_sales_tax_amt
initial_sales_tax_amt_usd
initial_service_fee_amt
initial_service_fee_amt_usd
initial_tip_amt
initial_tip_amt_usd
inventory_area_id
inventory_warehouse_location_id
is_chargeable
left_customer_location_date_time_pt
left_customer_location_date_time_utc
liquor_tax_amt
liquor_tax_amt_usd
loyalty_card_id
loyalty_number
markup_amt
markup_amt_usd
markup_sales_tax_amt
markup_sales_tax_amt_usd
needs_verification_cached_ind
num_bags
num_cpg_discounts
num_delivered_items
num_delivered_units
num_items
num_items_quantity_delivered_as_expected
num_picked_items
num_refunded_items
num_special_request_items
num_unresolved_items
num_user_canceled_items
order_delivery_gmv_amt
order_delivery_gmv_amt_usd
order_delivery_id
order_id
order_num
order_source
pay_shopper_if_canceled_ind
picker_comment_for_driver
pickup_ind
pickup_token
planned_delivery_end_date_time_pt
planned_delivery_end_date_time_utc
planned_delivery_start_date_time_pt
planned_delivery_start_date_time_utc
platform
pos_payment_method
post_checkout_canceled_at
pre_markup_charge_amt
pre_markup_charge_amt_usd
pre_markup_order_delivery_gmv_amt
pre_markup_order_delivery_gmv_amt_usd
pre_markup_sales_tax_amt
pre_markup_sales_tax_amt_usd
price
price_usd
private_label_discount_amt
private_label_discount_amt_usd
provincial_sales_tax_amt
provincial_sales_tax_amt_usd
quebec_sales_tax_amt
quebec_sales_tax_amt_usd
receipt_id
receipt_image_file
reconciled_delivery_fee_deprecated
reconciled_delivery_fee_usd
reconciled_ind
redelivery_ind
region_id
replacement_verification_method
retailer_coupon_discount_amt
retailer_coupon_discount_amt_usd
retailer_discount_amt
retailer_discount_amt_usd
retailer_price_amt
retailer_price_amt_usd
route_order
runner_batch_id
rx_ind
sales_tax_calc_strategy_deprecated
scheduled_delivery_discount_amt
scheduled_delivery_discount_amt_usd
shift_type
signature_image_file
source
sugar_tax_amt
sugar_tax_amt_usd
tip_amt
tip_amt_usd
total_charged_amt
total_charged_amt_usd
total_collected_amt
total_collected_amt_usd
transaction_id
user_id
value_added_tax_amt
value_added_tax_amt_usd
verified_replacements_date_time_pt
verified_replacements_date_time_utc
warehouse_id
warehouse_location_id
wd_abcde
wd_cart
wd_shopping
whitelabel_id
window_ends_date_time_pt
window_ends_date_time_utc
window_starts_date_time_pt
window_starts_date_time_utc
zone_id
